entry_id,deposited_model_num,label_asym_id,component_id,auth_asym_id,auth_seq_id,insertion_code_normalized,mapping_reason_class,algorithm_queue,preflight_mapping_status,heavy_atoms_structural,heavy_atoms_reference,heavy_atoms_mapped,heavy_atom_mapping_fraction,remediation_status,notes
4CEZ,1,H,O3N,A,1215,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,40,40,39,0.975,pending,Stage 2I QC-controlled mapping deferral
4CEZ,1,N,O3N,B,1215,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,40,40,39,0.975,pending,Stage 2I QC-controlled mapping deferral
4CF9,1,G,5EY,A,1214,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,29,29,19,0.655172,pending,Stage 2I QC-controlled mapping deferral
4CF9,1,H,EE2,A,1215,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,29,29,19,0.655172,pending,Stage 2I QC-controlled mapping deferral
4CF9,1,M,5EY,B,1214,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,29,29,19,0.655172,pending,Stage 2I QC-controlled mapping deferral
4CF9,1,N,EE2,B,1215,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,29,29,19,0.655172,pending,Stage 2I QC-controlled mapping deferral
4CGG,1,N,K5Q,B,1217,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,30,30,19,0.633333,pending,Stage 2I QC-controlled mapping deferral
4CGG,1,O,K5Q,B,1218,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,30,30,19,0.633333,pending,Stage 2I QC-controlled mapping deferral
4CIE,1,I,Y7N,A,1215,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,31,31,18,0.580645,pending,Stage 2I QC-controlled mapping deferral
4CIE,1,R,Y7N,B,1217,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,31,31,18,0.580645,pending,Stage 2I QC-controlled mapping deferral
4CJF,1,J,RVN,A,1217,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,23,23,13,0.565217,pending,Stage 2I QC-controlled mapping deferral
4CJF,1,R,RVN,B,1217,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,23,23,13,0.565217,pending,Stage 2I QC-controlled mapping deferral
4CJU,1,J,JNS,A,1217,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,20,20,13,0.65,pending,Stage 2I QC-controlled mapping deferral
4CJU,1,O,JNS,B,1214,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,20,20,13,0.65,pending,Stage 2I QC-controlled mapping deferral
4DQG,1,C,HGU,A,101,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,5,5,4,0.8,pending,Stage 2I QC-controlled mapping deferral
4FE6,1,B,0TQ,A,200,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,45,45,41,0.911111,pending,Stage 2I QC-controlled mapping deferral
4H4M,1,C,494,A,601,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,30,30,27,0.9,pending,Stage 2I QC-controlled mapping deferral
4H4O,1,C,506,A,601,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,30,30,27,0.9,pending,Stage 2I QC-controlled mapping deferral
4HVP,1,C,2NC,B,0,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
4I2P,1,C,G73,A,601,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,31,31,28,0.903226,pending,Stage 2I QC-controlled mapping deferral
4I2Q,1,C,1BT,A,601,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,32,32,29,0.90625,pending,Stage 2I QC-controlled mapping deferral
4I53,1,C,1C1,A,501,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,28,28,27,0.964286,pending,Stage 2I QC-controlled mapping deferral
4I53,1,K,1C1,B,501,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,28,28,27,0.964286,pending,Stage 2I QC-controlled mapping deferral
